name,mandat,parti,groupe,departement,mandatHATPV,file,timestamp,datedepot,dectype
Damien Abad,Assemblée Nationale,Les Républicains,LR,1,depute,abad-damien-dia3266-depute-01.xml,07/08/2017 15:47:07,10/19/2017,dia
Caroline Abadie,Assemblée Nationale,En marche !,LREM,38,depute,abadie-caroline-dia3267-depute-38.xml,15/08/2017 15:48:06,10/19/2017,dia
Bérangère Abba,Assemblée Nationale,En marche !,LREM,52,depute,abba-berangere-diam5743-depute-52.xml,14/02/2018 12:23:31,2/22/2018,diam
Jean-Félix Acquaviva,Assemblée Nationale,Régions et peuples solidaires,NI,2B,depute,acquaviva-jean-felix-dia3269-depute-2b.xml,17/07/2017 20:54:40,10/19/2017,dia
Damien Adam,Assemblée Nationale,En marche !,LREM,76,depute,adam-damien-dia3271-depute-76.xml,01/08/2017 18:56:06,10/19/2017,dia
Lénaïck Adam,Assemblée Nationale,En marche !,LREM,76,depute,adam-lenaick-dia6114-depute-973.xml,16/05/2018 15:28:41,5/24/2018,dia
Saïd Ahamada,Sénat,"Union des Démocrates, Radicaux et Libéraux",NI,10,depute,ahamada-said-dia3272-depute-13.xml,22/08/2017 11:48:17,10/19/2017,dia
Éric Alauzet,Assemblée Nationale,En marche !,LREM,13,depute,alauzet-eric-dia3452-depute-25.xml,15/09/2017 22:47:39,10/19/2017,dia
Louis Aliot,Assemblée Nationale,En marche !,LREM,976,depute,aliot-louis-dia3274-depute-66.xml,31/07/2017 11:29:20,10/19/2017,dia
Aude Amadou,Assemblée Nationale,Front National,NI,66,depute,amadou-aude-dia3275-depute-44.xml,18/08/2017 02:20:20,10/19/2017,dia
Patrice Anato,Sénat,Les Républicains,LR,14,depute,anato-patrice-dia3276-depute-93.xml,18/08/2017 23:29:08,10/19/2017,dia
François André,Assemblée Nationale,En marche !,LREM,44,depute,andre-francois-dia3441-depute-35.xml,28/08/2017 15:33:26,10/19/2017,dia
Pieyre-Alexandre Anglade,Sénat,En Marche !,REM,13,depute,anglade-pieyre-alexandre-dia3280-depute-099.xml,03/08/2017 14:51:02,10/19/2017,dia
Emmanuelle Anthoine,Assemblée Nationale,En marche !,LREM,93,depute,anthoine-emmanuelle-diam5416-depute-26.xml,23/01/2018 10:35:04,1/25/2018,diam
Jean-Philippe Ardouin,Assemblée Nationale,En marche !,LREM,35,depute,ardouin-jean-philippe-diam5494-depute-17.xml,22/12/2017 23:27:24,1/25/2018,diam
Christophe Arend,Assemblée Nationale,En marche !,LREM,99,depute,arend-christophe-diam5762-depute-57.xml,19/02/2018 19:39:00,2/22/2018,diam
Gabriel Attal,Assemblée Nationale,Les Républicains,LR,26,depute,attal-gabriel-dia3284-depute-92.xml,20/08/2017 12:07:26,10/19/2017,dia
Julien Aubert,Sénat,Parti progressiste martiniquais,SOC,972,depute,aubert-julien-diam5809-depute-84.xml,21/02/2018 11:24:25,3/1/2018,diam
Sophie Auconie,Assemblée Nationale,En marche !,LREM,17,depute,auconie-sophie-diam5506-depute-37.xml,18/12/2017 15:07:42,1/25/2018,diam
Clémentine Autain,Assemblée Nationale,En marche !,LREM,57,depute,autain-clementine-dia3288-depute-93.xml,08/08/2017 11:43:19,10/19/2017,dia
Laetitia Avia,Sénat,Parti Radical de gauche,RDSE,978,depute,avia-laetitia-diam6003-depute-75.xml,31/03/2018 21:43:06,4/5/2018,diam
Joël Aviragnet,Sénat,Archipel demain,RDSE,975,depute,aviragnet-joel-dia6117-depute-31.xml,18/05/2018 16:13:50,5/24/2018,dia
Florian Bachelier,Sénat,Parti Communiste Français,CRCE,93,depute,bachelier-florian-diam5812-depute-35.xml,22/02/2018 17:39:11,3/1/2018,diam
