name,parti,groupe,departement,type_mandat,qualite,type_document,XML,url_photo,date_depot,civilite
Alain Dufaut,Les Républicains,LR,84,senateur,Sénateur de Vaucluse,dia,,http://www.senat.fr/senimg/dufaut_alain87003b.jpg,,m
Alain Fouché,Les Républicains,RTLI,86,senateur,Sénateur de la Vienne,dia,,http://www.senat.fr/senimg/fouche_alain02002k.jpg,,m
André Reichardt,Les Républicains,LR,67,senateur,Sénateur du Bas-Rhin,dia,,http://www.senat.fr/senimg/reichardt_andre10015m.jpg,,m
Antoine Karam,Parti progressiste martiniquais,REM,973,senateur,Sénateur de la Guyane,dia,,http://www.senat.fr/senimg/karam_antoine14039a.jpg,,m
Benoît Huré,Les Républicains,LR,8,senateur,Sénateur des Ardennes,dia,,http://www.senat.fr/senimg/hure_benoit04097t.jpg,,m
Bernard Cazeau,En Marche !,REM,24,senateur,Sénateur de la Dordogne,dia,,http://www.senat.fr/senimg/cazeau_bernard98029w.jpg,,m
Bruno Gilles,Les Républicains,LR,13,senateur,Sénateur des Bouches-du-Rhône,dia,,http://www.senat.fr/senimg/gilles_bruno08048b.jpg,,m
Charles Guené,Les Républicains,LR,52,senateur,Sénateur de la Haute-Marne,dia,,http://www.senat.fr/senimg/guene_charles01057w.jpg,,m
Christian Manable,Parti Socialiste,SOC,80,senateur,Sénateur de la Somme,diam,,http://www.senat.fr/senimg/manable_christian14063n.jpg,,m
Christine Prunaud,Parti Communiste Français,CRCE,22,senateur,Sénatrice des Côtes-d'Armor,dia,,http://www.senat.fr/senimg/prunaud_christine14235q.jpg,,f
Christophe-André Frassa,Les Républicains,LR,997,senateur,Sénateur représentant les Français établis hors de France,diam,,http://www.senat.fr/senimg/frassa_christophe_andre08018u.jpg,,m
Claude Bérit-Débat,Parti Socialiste,SOC,24,senateur,Sénateur de la Dordogne,dia,,http://www.senat.fr/senimg/berit_debat_claude08055a.jpg,,m
Claude Haut,En Marche !,REM,84,senateur,Sénateur de Vaucluse,diam,,http://www.senat.fr/senimg/haut_claude95037j.jpg,,m
Claudine Lepage,Parti Socialiste,SOC,997,senateur,Sénatrice représentant les Français établis hors de France,diam,,http://www.senat.fr/senimg/lepage_claudine08017t.jpg,,f
Corinne Féret,Parti Socialiste,SOC,14,senateur,Sénatrice du Calvados,dia,,http://www.senat.fr/senimg/feret_corinne14281w.jpg,,f
Daniel Gremillet,Les Républicains,LR,88,senateur,Sénateur des Vosges,diam,,http://www.senat.fr/senimg/gremillet_daniel14033t.jpg,,m
Didier Mandelli,Les Républicains,LR,85,senateur,Sénateur de la Vendée,dia,,http://www.senat.fr/senimg/mandelli_didier14031r.jpg,,m
Élisabeth Lamure,Les Républicains,LR,69,senateur,Sénatrice du Rhône,dia,,http://www.senat.fr/senimg/lamure_elisabeth04049k.jpg,,f
Éric Jeansannetas,Parti Socialiste,SOC,23,senateur,Sénateur de la Creuse,diam,,http://www.senat.fr/senimg/jeansannetas_eric14121f.jpg,,m
Fabienne Keller,"Union des Démocrates, Radicaux et Libéraux",LR,67,senateur,Sénatrice du Bas-Rhin,dia,,http://www.senat.fr/senimg/keller_fabienne04061f.jpg,,f
François Patriat,En Marche !,REM,21,senateur,Sénateur de la Côte-d'Or,dia,,http://www.senat.fr/senimg/patriat_francois08061x.jpg,,m
Françoise Cartron,Parti Socialiste,SOC,33,senateur,Sénatrice de la Gironde,dia,,http://www.senat.fr/senimg/cartron_francoise08024s.jpg,,f
Françoise Laborde,Parti Radical de gauche,RDSE,31,senateur,Sénatrice de la Haute-Garonne,diam,,http://www.senat.fr/senimg/laborde_francoise08031r.jpg,,f
Frédérique Gerbaud,Les Républicains,LR,36,senateur,Sénatrice de l'Indre,dia,,http://www.senat.fr/senimg/gerbaud_frederique14355x.jpg,,f
Gérard Dériot,Les Républicains,LR,3,senateur,Sénateur de l'Allier,dia,,http://www.senat.fr/senimg/deriot_gerard98024r.jpg,,m
Gisèle Jourda,Parti Socialiste,SOC,11,senateur,Sénatrice de l'Aude,dia,,http://www.senat.fr/senimg/jourda_gisele14097y.jpg,,f
Guillaume Arnell,Parti Radical de gauche,RDSE,978,senateur,Sénateur de Saint-Martin,dia,,http://www.senat.fr/senimg/arnell_guillaume14261s.jpg,,m
Guy-Dominique Kennel,Les Républicains,LR,67,senateur,Sénateur du Bas-Rhin,dia,,http://www.senat.fr/senimg/kennel_guy_dominique14061l.jpg,,m
Jackie Pierre,Les Républicains,LR,88,senateur,Sénateur des Vosges,diam,,http://www.senat.fr/senimg/pierre_jackie04088s.jpg,,m
Jacky Deromedi,Les Républicains,LR,997,senateur,Sénatrice représentant les Français établis hors de France,dia,,http://www.senat.fr/senimg/deromedi_jacky14041t.jpg,,f
Jacques Grosperrin,Les Républicains,LR,25,senateur,Sénateur du Doubs,diam,,http://www.senat.fr/senimg/grosperrin_jacques14123h.jpg,,m
Jean-Claude Carle,Les Républicains,LR,74,senateur,Sénateur de la Haute-Savoie,dia,,http://www.senat.fr/senimg/carle_jean_claude95015c.jpg,,m
Jean-François Longeot,"Union des Démocrates, Radicaux et Libéraux",UC,25,senateur,Sénateur du Doubs,dia,,http://www.senat.fr/senimg/longeot_jean_francois14219q.jpg,,m
Jean-François Mayet,Les Républicains,LR,36,senateur,Sénateur de l'Indre,dia,,http://www.senat.fr/senimg/mayet_jean_francois08062y.jpg,,m
Jean-Louis Tourenne,Parti Socialiste,SOC,35,senateur,Sénateur d'Ille-et-Vilaine,dia,,http://www.senat.fr/senimg/tourenne_jean_louis14227q.jpg,,m
Jean-Noël Guérini,Parti Radical de gauche,RDSE,13,senateur,Sénateur des Bouches-du-Rhône,dia,,http://www.senat.fr/senimg/guerini_jean_noel98022p.jpg,,m
Jean-Pierre Leleux,Les Républicains,LR,6,senateur,Sénateur des Alpes-Maritimes,diam,,http://www.senat.fr/senimg/leleux_jean_pierre08039a.jpg,,m
Jean-Pierre Vial,Les Républicains,LR,73,senateur,Sénateur de la Savoie,dia,,http://www.senat.fr/senimg/vial_jean_pierre95067q.jpg,,m
Jean-Yves Roux,Parti Socialiste,SOC,4,senateur,Sénateur des Alpes-de-Haute-Provence,diam,,http://www.senat.fr/senimg/roux_jean_yves14107h.jpg,,m
Jérôme Bignon,"Union des Démocrates, Radicaux et Libéraux",RTLI,80,senateur,Sénateur de la Somme,diam,,http://www.senat.fr/senimg/bignon_jerome14093u.jpg,,m
Ladislas Poniatowski,Les Républicains,LR,27,senateur,Sénateur de l'Eure,dia,,http://www.senat.fr/senimg/poniatowski_ladislas98050t.jpg,,m
Loïc Hervé,"Union des Démocrates, Radicaux et Libéraux",UC,74,senateur,Sénateur de la Haute-Savoie,dia,,http://www.senat.fr/senimg/herve_loic14179a.jpg,,m
Marc Daunis,Parti Socialiste,SOC,6,senateur,Sénateur des Alpes-Maritimes,diam,,http://www.senat.fr/senimg/daunis_marc08038y.jpg,,m
Martial Bourquin,Parti Socialiste,SOC,25,senateur,Sénateur du Doubs,dia,,http://www.senat.fr/senimg/bourquin_martial08068f.jpg,,m
Maryvonne Blondin,Parti Socialiste,SOC,29,senateur,Sénatrice du Finistère,dia,,http://www.senat.fr/senimg/blondin_maryvonne08043v.jpg,,f
Michel Boutant,Parti Socialiste,SOC,16,senateur,Sénateur de la Charente,dia,,http://www.senat.fr/senimg/boutant_michel08058d.jpg,,m
Michel Magras,Les Républicains,LR,977,senateur,Sénateur de Saint-Barthélemy,diam,,http://www.senat.fr/senimg/magras_michel08019v.jpg,,m
Nicole Bonnefoy,Parti Socialiste,SOC,16,senateur,Sénatrice de la Charente,dia,,http://www.senat.fr/senimg/bonnefoy_nicole08060w.jpg,,f
Nicole Duranton,Les Républicains,LR,27,senateur,Sénatrice de l'Eure,dia,,http://www.senat.fr/senimg/duranton_nicole14249w.jpg,,f
Pascal Allizard,Les Républicains,LR,14,senateur,Sénateur du Calvados,diam,,http://www.senat.fr/senimg/allizard_pascal14133k.jpg,,m
Patricia Schillinger,En Marche !,REM,68,senateur,Sénatrice du Haut-Rhin,dia,,http://www.senat.fr/senimg/schillinger_patricia04045f.jpg,,f
Philippe Madrelle,Parti Socialiste,SOC,33,senateur,Sénateur de la Gironde,dia,,http://www.senat.fr/senimg/madrelle_philippe80027e.jpg,,m
Pierre-Yves Collombat,La France insoumise,CRCE,83,senateur,Sénateur du Var,dia,,http://www.senat.fr/senimg/collombat_pierre_yves04038g.jpg,,m
Rachel Mazuir,Parti Socialiste,SOC,1,senateur,Sénateur de l'Ain,dia,,http://www.senat.fr/senimg/mazuir_rachel08053x.jpg,,m
Ramlati Ali,En marche !,LREM,976,depute,Députée de Mayotte,dia,,http://www2.assemblee-nationale.fr/static/tribun/15/photos/724827.jpg,,f
