name,departement,mandat,parti,groupe
DOMINIQUE ESTROSI-SASSONE,6,Sénateur,LR,LR
Catherine MORIN-DESAILLY,76,Sénateur,UDLR,UC
frederique espagnac,64,Sénateur,PS,SOC
Émilie Bonnivard,73,Député,LR,LR
pierre charon,75,Sénateur,LR,LR
Olivier Dassault,60,Député,LR,LR
Hervé MARSEILLE,92,Sénateur,UDLR,UC
David Assouline,75,Sénateur,PS,SOC
Anne Brugnera,69,Député,REM,REM
Nicolas Forissier,36,Député,LR,LR
Nathalie Bassire,974,Député,DVD,LR
Martial Saddier,74,Député,LR,LR
GILBERT-LUC ROBERT DEVINAZ,62,Sénateur,PS,SOC
Sophie Joissains,39,Sénateur,UDLR,UC
Gérard POADJA,59,Sénateur,Calédonie ensemble,UC
Jean-Luc Lagleize,77,Député,MoDem,MoDem
Daniel Fasquelle,62,Député,LR,LR
Cédric Villani,974,Député,REM,REM
Yves Blein,12,Député,REM,REM
Véronique Louwagie,50,Député,LR,LR
Valérie Létard,64,Sénateur,UDLR,UC
RACHID TEMAL,35,Sénateur,PS,SOC
Georges GINESTA,29,Sénateur,LR,LR
François GROSDIDIER,14,Sénateur,LR,LR
Anne-Catherine LOISIER,988,Sénateur,UDLR,UC
Alain Cazabonne,06,Sénateur,MoDem,UC
ALAIN CHATILLON,54,Sénateur,UDRL,LR
evelyne Renaud Garabedian,51,Sénateur,LR,LR
annie guillemot,22,Sénateur,PS,SOC
Thibault Bazin,74,Député,LR,LR
Philippe Gomès,69,Député,CE,LC
Joelle Garriaud-Maylam,85,Sénateur,LR,LR
Jacques Cattin,72,Député,LR,LR
Olivier Becht,57,Député,DVD,LC
Josy Poueyto,51,Député,MoDem,MoDem
Jean-Marie Sermier,39,Député,LR,LR
Francis Vercamer,59,Député,LC,LC
Emmanuel CAPUS,72,Sénateur,UDRL,RTLI
Catherine FOURNIER,57,Sénateur,UDLR,UC
gerard longuet,48,Sénateur,LR,LR
catherine TROENDLE,05,Sénateur,LR,LR
Vincent CAPO-CANELLAS,26,Sénateur,UDLR,UC
Raphaël Schellenberger,72,Député,LR,LR
Paul Christophe,84,Député,LR,LC
Nicole Sanquer,39,Député,TH,LC
Nathalie DELATTRE,78,Sénateur,UDRL,RDSE
MAX FRANCOIS BRISSON,87,Sénateur,LR,LR
Colette GIUDICELLI,30,Sénateur,LR,LR
Yves Jégo,77,Député,UDI-Rad.,LC
Pierre-Alain Raphan,91,Député,REM,REM
Marie-Noëlle Lienemann,07,Sénateur,PS,SOC
Jean-Claude LUCHE,92,Sénateur,UDLR,UC
Guillaume Larrivé,69,Député,LR,LR
Bruno Sido,25,Sénateur,LR,LR
Alain RICHARD,06,Sénateur,REM,REM
Alain Joyandet,07,Sénateur,LR,LR
ANNIE DELMONT-KOROPOULIS,67,Sénateur,LR,LR
jean-Louis MASSON,93,Sénateur,DLF,RASNAG
Sophie Taillé Polian,75,Sénateur,PS,SOC
Sabine VAN HEGHE,33,Sénateur,PS,SOC
Rémi FERAUD,75,Sénateur,PS,SOC
Ronan Le Gleut,34,Sénateur,LR,LR
Philippe Pemezec,34,Sénateur,LR,LR
Nicolas Turquois,47,Député,MoDem,MoDem
Marie Mercier,57,Sénateur,LR,LR
Julien Bargeton,33,Sénateur,REM,REM
Jean-François RAPIN,40,Sénateur,LR,LR
Jacques Bigot,61,Sénateur,PS,SOC
Denise Saint-Pé,86,Sénateur,MoDem,UC
Céline BOULAY-ESPERONNIER,974,Sénateur,MoDem,LR
Cyrille Isaac-Sibille,79,Député,MoDem,MoDem
Christophe Blanchet,30,Député,REM,REM
Buon Tan,17,Député,REM,REM
Bruno RETAILLEAU,25,Sénateur,LR,LR
Agnès Firmin-Le Bodo,64,Député,LR,LC
