name,mandat,parti,groupe,departement
Abdallah Hassani,Sénat,En Marche !,REM,976
Adrien Morenas,Assemblée Nationale,En marche !,LREM,84
Adrien Quatennens,Assemblée Nationale,La France Insoumise,LFI,59
Adrien Taquet,Assemblée Nationale,En marche !,LREM,92
Agnès Canayer,Sénat,Les Républicains,LR,76
Agnès Firmin Le Bodo,Assemblée Nationale,"Union des démocrates, radicaux et libéraux",UDI,76
Agnès Thill,Assemblée Nationale,En marche !,LREM,60
Aina Kuric,Assemblée Nationale,En marche !,LREM,51
Alain Bertrand,Sénat,En Marche !,RDSE,48
Alain Bruneel,Assemblée Nationale,Parti communiste français,GDR,59
Alain Cazabonne,Sénat,Mouvement démocrate,UC,33
Alain Chatillon,Sénat,"Union des Démocrates, Radicaux et Libéraux",LR,31
Alain David,Assemblée Nationale,Parti socialiste,NG,33
Alain Dufaut,Sénat,Les Républicains,LR,84
Alain Duran,Sénat,Parti Socialiste,SOC,9
Alain Fouché,Sénat,Les Républicains,RTLI,86
Alain Houpert,Sénat,Les Républicains,LR,21
Alain Joyandet,Sénat,Les Républicains,LR,70
Alain Marc,Sénat,"Union des Démocrates, Radicaux et Libéraux",RTLI,12
Alain Milon,Sénat,Les Républicains,LR,84
Alain Perea,Assemblée Nationale,En marche !,LREM,11
Alain Ramadier,Assemblée Nationale,Les Républicains,LR,93
Alain Richard,Sénat,En Marche !,REM,6
Alain Schmitz,Sénat,Les Républicains,LR,78
Alain Tourret,Assemblée Nationale,En marche !,LREM,14
Albane Gaillot,Assemblée Nationale,En marche !,LREM,94
Albéric De Montgolfier,Sénat,Les Républicains,LR,28
Alexandra Louis,Assemblée Nationale,En marche !,LREM,13
Alexandra Valetta Ardisson,Assemblée Nationale,En marche !,LREM,6
Alexandre Freschi,Assemblée Nationale,En marche !,LREM,47
Alexandre Holroyd,Assemblée Nationale,En marche !,LREM,99
Alexis Corbière,Assemblée Nationale,La France Insoumise,LFI,93
Alice Thourot,Assemblée Nationale,En marche !,LREM,26
Amal-Amélia Lakrafi,Assemblée Nationale,En marche !,LREM,99
Amélie de Montchalin,Assemblée Nationale,En marche !,LREM,91
André Chassaigne,Assemblée Nationale,Parti communiste français,GDR,63
André Gattolin,Sénat,En Marche !,REM,92
André Reichardt,Sénat,Les Républicains,LR,67
André Vallini,Sénat,Parti Socialiste,SOC,38
André Villiers,Assemblée Nationale,"Union des démocrates, radicaux et libéraux",UDI,89
Angèle Préville,Sénat,Parti Socialiste,SOC,46
Anissa Khedher,Assemblée Nationale,En marche !,LREM,69
Annaïg Le Meur,Assemblée Nationale,En marche !,LREM,29
Anne Blanc,Assemblée Nationale,En marche !,LREM,12
Anne Brugnera,Assemblée Nationale,En marche !,LREM,69
Anne- Catherine Loisier,Sénat,"Union des Démocrates, Radicaux et Libéraux",UC,21
