party,abbreviation
Archipel demain,AD
Calédonie Ensemble,CE
Cap sur l'avenir,
Debout la France,DLF
En marche !,REM
Europe Ecologie les Verts,EELV
Front National,FN
La France Insoumise,LFI
Les Républicains,LR
Mouvement Démocrate,MoDem
Mouvement Indépendantiste Martiniquais,MIM
Non déclaré(s),NI
Non rattaché,NI
Parti communiste français,PCF
Parti progressiste martiniquais,PGM
Parti radical de gauche,PRG
Parti socialiste,PS
Rassemblement LR - Rassemblement pour la Calédonie dans la République,LR
"Rassemblement LR -
Rassemblement pour la Calédonie dans la République",LR
Régions et peuples solidaires,RPS
Tapura Huiraatira,TH
Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,FLP
"Union des démocrates, radicaux et libéraux",UDRL
