lastname,name,parti,groupe
Estrosi Sassone,Dominique,LR,LR
Adnot,Philippe,UDRL,RASNAG
Allizard,Pascal,LR,LR
Amiel,Michel,REM,REM
Antiste,Maurice,PGM,SOC
Arnell,Guillaume,PRG,RDSE
Artano,Stéphane,Archipel demain,RDSE
Artigalas,Viviane,PS,SOC
Assassi,Éliane,PCF,CRCE
Assouline,David,PS,SOC
Babary,Serge,LR,LR
Bansard,Jean-Pierre,LR,LR
Bargeton,Julien,REM,REM
Bas,Philippe,LR,LR
Bascher,Jérôme,LR,LR
Bazin,Arnaud,LR,LR
De Belenet,Arnaud,REM,REM
Benbassa,Esther,EELV,CRCE
Bérit-Débat,Claude,PS,SOC
Berthet Cottarel,Martine,LR,LR
Bertrand,Alain,REM,RDSE
Bertrand,Anne-Marie,LR,LR
Bignon,Jérôme,UDRL,RTLI
Bigot,Jacques,PS,SOC
Bigot,Joël,PS,SOC
Billon,Annick,UDLR,UC
Bizet,Jean,LR,LR
Blondin,Maryvonne,PS,SOC
Bockel,Jean-Marie,UDLR,UC
Bocquet,Éric,PCF,CRCE
Bonfanti-Dossat,Christine,LR,LR
Bonhomme,François,LR,LR
Bonne,Bernard,LR,LR
Bonnecarrère,Philippe,REM,UC
Bonnefoy,Nicole,PS,SOC
Bories,Pascale,LR,LR
Botrel,Yannick,PS,SOC
Bouchet,Gilbert,LR,LR
Boulay-Espéronnier,Céline,MoDem,LR
Bourquin,Martial,PS,SOC
Boutant,Michel,PS,SOC
Boyer,Jean-Marc,LR,LR
Brisson,Max Francois,LR,LR
Bruguière,Marie-Thérèse,LR,LR
Buffet,François-Noël,LR,LR
Cabanel,Henri,PS,SOC
Cadic,Olivier,UDLR,UC
Calvet,François,LR,LR
Cambon,Christian,LR,LR
Canayer,Agnès,LR,LR
Canevet,Michel,REM,UC
Capo-Canellas,Vincent,UDLR,UC
Capus,Emmanuel,UDRL,RTLI
Carcenac,Thierry,PS,SOC
Cardoux,Jean-Noël,LR,LR
Carle,Jean-Claude,LR,LR
Carrère,Maryse,PRG,RDSE
Cartron,Françoise,PS,SOC
Castelli,Joseph,PRG,RDSE
Cazabonne,Alain,MoDem,UC
Cazeau,Bernard,REM,REM
Chain-Larché,Anne,LR,LR
Chaize,Patrick,LR,LR
Charon,Pierre,LR,LR
Chasseing,Daniel,UDRL,RTLI
Chatillon,Alain,UDRL,LR
Chauvin,Marie-Christine,LR,LR
Chevrollier,Guillaume,LR,LR
De Cidrac,Marta,LR,LR
Cigolotti,Olivier,UDLR,UC
Cohen,Laurence,PCF,CRCE
Collin,Yvon,REM,RDSE
Collombat,Pierre-Yves,LFI,CRCE
Conconne,Catherine,PGM,SOC
Conway-Mouret,Hélène,PS,SOC
Corbisez,Jean-Pierre,PCF,RDSE
Cornu,Gérard,LR,LR
Costes,Josiane,PRG,RDSE
Courteau,Roland,PS,SOC
Courtial,Édouard,LR,LR
Cukierman,Cécile,PCF,CRCE
Cuypers,Pierre,LR,LR
Dagbert,Michel,PS,SOC
Dallier,Philippe,LR,LR
Danesi,René,LR,LR
Dantec,Ronan,EELV,RDSE
Darcos,Laure,LR,LR
Darnaud,Mathieu,LR,LR
Daubresse,Marc,LR,LR
Daudigny,Yves,PS,SOC
Daunis,Marc,PS,SOC
Decool,Jean-Pierre,UDRL,RTLI
Del Picchia,Robert,LR,LR
Delahaye,Vincent,UDLR,UC
Delattre,Nathalie,UDRL,RDSE
Delcros,Bernard,MoDem,UC
Delmont-Koropoulis,Annie,LR,LR
Dennemont,Michel,REM,REM
Dériot,Gérard,LR,LR
Deroche,Catherine,LR,LR
Deromedi,Jacky,LR,LR
Deseyne,Chantal,LR,LR
Détraigne,Yves,UDLR,UC
Devinaz,Gilbert-Luc Robert,PS,SOC
Di Folco,Catherine,LR,LR
Dindar,Nassimah,UDLR,UC
Doineau,Élisabeth,UDRL,UC
Dominati,Philippe,MoDem,LR
Dubois,Daniel,UDLR,UC
Dufaut,Alain,LR,LR
Dumas,Catherine,LR,LR
Duplomb,Laurent,LR,LR
Durain,Jérôme,PS,SOC
Duran,Alain,PS,SOC
Duranton,Nicole,LR,LR
Éblé,Vincent,PS,SOC
Émorine,Jean-Paul,NI,LR
Espagnac,Frédérique,PS,SOC
Estrosi Sassone,Dominique,LR,LR
Eustache-Brinio,Jacqueline,LR,LR
Férat,Françoise,UDLR,UC
Féraud,Rémi,PS,SOC
Féret,Corinne,PS,SOC
Fichet,Jean-Luc,PS,SOC
Filleul,Martine,PS,SOC
Forissier,Michel,LR,LR
Foucaud,Thierry,PCF,CRCE
Fouché,Alain,LR,RTLI
Fournier,Bernard,LR,LR
Fournier,Catherine,UDLR,UC
Frassa,Christophe- André,LR,LR
Frogier,Pierre,Rassemblement LR - RCR,LR
Gabouty,Jean-Marc,UDRL,RDSE
Garriaud-Maylam,Joëlle,LR,LR
Gatel,Françoise,UDLR,UC
Gattolin,André,REM,REM
Gay,Fabien,PCF,CRCE
Genest,Jacques,LR,LR
Gerbaud,Frédérique,LR,LR
Ghali,Samia,PS,SOC
Gilles,Bruno,LR,LR
Ginesta,Jordi,LR,LR
Giudicelli,Colette,LR,LR
Gold,Éric,PRG,RDSE
Gontard,Guillaume,EELV,CRCE
De La Gontrie,Marie-Pierre,PS,SOC
Goulet,Nathalie,UDLR,UC
Goy-Chavent,Sylvie,UDLR,UC
Grand,Jean-Pierre,LR,LR
Gréaume,Michelle,PCF,CRCE
Grelet- Certenais,Nadine,PS,SOC
Gremillet,Daniel,LR,LR
Grosdidier,François,LR,LR
Grosperrin,Jacques,LR,LR
Gruny,Pascale,LR,LR
Guené,Charles,LR,LR
Guérini,Jean-Noël,PRG,RDSE
Guerriau,Joël,UDRL,RTLI
Guidez,Jocelyne,UDLR,UC
Guillaume,Didier,PS,SOC
Guillemot,Annie,PS,SOC
Guillotin,Véronique,UDRL,RDSE
Harribey,Laurence,PS,SOC
Hassani,Abdallah,REM,REM
Haut,Claude,REM,REM
Henno,Olivier,UDLR,UC
Hervé,Loïc,UDLR,UC
Herzog,Christine,DLF,RASNAG
Houllegatte,Jean-Michel,PS,SOC
Houpert,Alain,LR,LR
Hugonet,Jean-Raymond,LR,LR
Huré,Benoît,LR,LR
Husson,Jean-François,LR,LR
Iacovelli,Xavier,PS,SOC
Imbert,Corinne,LR,LR
Jacquin,Olivier,PS,SOC
Janssens,Jean-Marie,UDLR,UC
Jasmin,Victoire,PGM,SOC
Jeansannetas,Éric,PS,SOC
Joissains,Sophie,UDLR,UC
Joly,Patrice,PS,SOC
Jomier,Bernard,PRG,SOC
Jourda,Muriel,LR,LR
Jourda,Gisèle,PS,SOC
Jouve,Mireille,PRG,RDSE
Joyandet,Alain,LR,LR
Kanner,Patrick,PS,SOC
Karam,Antoine,PPM,REM
Karoutchi,Roger,LR,LR
Kauffmann,Claudine,NI,RASNAG
Keller,Fabienne,UDRL,LR
Kennel,Guy- Dominique,LR,LR
Kern,Claude,UDLR,UC
Kerrouche,Éric,PS,SOC
Labbé,Joël,EELV,RDSE
Laborde,Françoise,PRG,RDSE
Lafon,Laurent,UDLR,UC
Lagourgue,Jean-Louis,UDRL,RTLI
Lalande,Bernard,PS,SOC
Laménie,Marc,LR,LR
Lamure,Élisabeth,LR,LR
Lanfranchi Dorgal,Christine,LR,LR
Larcher,Gérard,LR,LR
Lassarade,Florence,LR,LR
Laufoaulu,Robert,Rassemblement LR - RCR,LR
Laugier,Michel,UDLR,UC
Laurent,Daniel,LR,LR
Laurent,Pierre,PCF,CRCE
Laurey,Nuihau,Tapura Huiraatira,UC
Lavarde,Christine,LR,LR
De Legge,Dominique,LR,LR
Le Gleut,Ronan,LR,LR
Le Nay,Jacques,UDLR,UC
Leconte,Jean-Yves,PS,SOC
Lefèvre,Antoine,LR,LR
Leleux,Jean-Pierre,LR,LR
Léonhardt,Olivier,NI,RDSE
Lepage,Claudine,PS,SOC
Leroux,Sébastien,LR,LR
Leroy,Henri,LR,LR
Létard,Valérie,UDLR,UC
Lévrier,Martin,REM,REM
Lherbier,Brigitte,LR,LR
Lienemann,Marie-Noëlle,PS,SOC
Loisier,Anne-Catherine,UDLR,UC
Longeot,Jean-François,UDLR,UC
Longuet,Gérard,LR,LR
Lopez,Vivette,LR,LR
Louault,Pierre,UDLR,UC
Lozach,Jean-Jacques,PS,SOC
Lubin,Monique,PS,SOC
Luche,Jean-Claude,UDLR,UC
Julien-Emmanuel-Lurel,Victorin,PGM,SOC
Madrelle,Philippe,PS,SOC
Magner,Jacques,PS,SOC
Magras,Michel,LR,LR
Malet,Viviane,LR,LR
Malhuret,Claude,UDRL,RTLI
Manable,Christian,PS,SOC
Mandelli,Didier,LR,LR
Marc,Alain,UDRL,RTLI
Marchand,Frédéric,REM,REM
Marie,Didier,PS,SOC
Marseille,Hervé,UDLR,UC
Masson,Jean Louis,DLF,RASNAG
Maurey,Hervé,UDLR,UC
Mayet,Jean-François,LR,LR
Mazuir,Rachel,PS,SOC
Médevielle,Pierre,UDLR,UC
Mélot,Colette,UDRL,RTLI
Menonville,Franck,UDRL,RDSE
Mercier,Marie,LR,LR
Meunier,Michelle,PS,SOC
Meurant,Sébastien,LR,LR
Micouleau,Brigitte,LR,LR
Milon,Alain,LR,LR
Mizzon,Jean-Marie,UDLR,UC
Moga,Jean-Pierre,UDLR,UC
Mohamed Soilihi,Thani,REM,REM
Monier,Marie-Pierre,PS,SOC
De Montgolfier,Albéric,LR,LR
Montaugé,Franck,PS,SOC
Morhet-Richaud,Patricia,LR,LR
Morin-Desailly,Catherine,UDLR,UC
Morisset,Jean-Marie,LR,LR
Mouiller,Philippe,LR,LR
Nachbar,Philippe,LR,LR
Navarro,Robert,REM,REM
De Nicolay,Louis-Jean,LR,LR
Nougein,Claude,LR,LR
Ouzoulias,Pierre,PCF,CRCE
Paccaud,Olivier,LR,LR
Panunzi,Jean-Jacques,LR,LR
Patient,Georges,PS,REM
Patriat,François,REM,REM
Paul,Philippe,LR,LR
Pellevat,Cyril,LR,LR
Pemezec,Philippe,LR,LR
Perol-Dumont,Marie-Françoise,PS,SOC
Perrin,Cédric,LR,LR
Piednoir,Stéphane,LR,LR
Pierre,Jackie,LR,LR
Pillet,François,LR,LR
Poadja,Gérard,Calédonie ensemble,UC
Pointereau,Rémy,LR,LR
Poniatowski,Ladislas,LR,LR
Préville,Angèle,PS,SOC
Primas,Sophie,LR,LR
Prince,Jean-Paul,MoDem,UC
Priou,Christophe,LR,LR
Procaccia,Catherine,LR,LR
De La Provôté,Sonia,UDLR,UC
Prunaud,Christine,PCF,CRCE
Puissat,Frédérique,LR,LR
Raimond-Pavero,Isabelle,LR,LR
Raison,Michel,LR,LR
Rambaud,Didier,REM,REM
Rapin,Jean-François,LR,LR
Rauscent,Noëlle,REM,REM
Ravier,Stéphane,FN,RASNAG
Raynal,Claude,PS,SOC
Reichardt,André,LR,LR
Renaud-Garabedian,Évelyne,LR,LR
Requier,Jean-Claude,PRG,RDSE
Retailleau,Bruno,LR,LR
Revet,Charles,LR,LR
Richard,Alain,REM,REM
Robert,Sylvie,PS,SOC
Roger,Gilbert,PS,SOC
Rossignol,Laurence,PS,SOC
Roux,Jean-Yves,PS,SOC
Saint-Pé,Denise,MoDem,UC
Saury,Hugues,LR,LR
Savary,René-Paul,LR,LR
Savin,Michel,LR,LR
Savoldelli,Pascal,PCF,CRCE
Schillinger,Patricia,REM,REM
Schmitz,Alain,LR,LR
Sido,Bruno,LR,LR
Sol,Jean,LR,LR
Sollogoub,Nadia,NI,UC
Sueur,Jean-Pierre,PS,SOC
Sutour,Simon,PS,SOC
Taillé-Polian,Sophie,PS,SOC
Temal,Rachid,PS,SOC
Tetuanui,Lana,Tapura Huiraatira,UC
Théophile,Dominique,REM,REM
Thomas,Claudine,LR,LR
Tissot,Jean-Claude,PS,SOC
Tocqueville,Nelly,PS,SOC
Todeschini,Jean-Marc,PS,SOC
Tourenne,Jean-Louis,PS,SOC
Troendlé,Catherine,LR,LR
Vall,Raymond,PRG,RDSE
Vallini,André,PS,SOC
Van Heghe,Sabine,PS,SOC
Vanlerenberghe,Jean-Marie,MoDem,UC
Vaspart,Michel,LR,LR
Vaugrenard,Yannick,PS,SOC
Vermeillet,Sylvie,UDLR,UC
Vial,Jean-Pierre,LR,LR
Vogel,Jean Pierre,LR,LR
Vullien,Michèle,UDLR,UC
Watrin,Dominique,PCF,CRCE
