name,type,company,description,amount,notes,notes2,notes3,notes4
François de Rugy,pro,,,,,,,
Sophie Rohfritsch,pro,,Maire de Lampertheim,0,0 EUR (écrêtement),,,
Gaëtan Gorce,pro,,Administrateur civil au Ministère de l'Intérieur,,Avant : administrateur civil au Ministère de l'Intérieur - Traitement,,,
Olivier Dassault,pro,,Administrateur DASSAULT AVIATION,NÉANT,"SA, sise à Paris (75008) - non rémunéré sauf jetons de présence",,,
Serge Dassault,pro,,Administrateur DASSAULT FALCON JET CORPORATION (USA),,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Serge Dassault,pro,,Administrateur DASSAULT INTERNATIONAL Inc.,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Olivier Dassault,pro,,Administrateur DASSAULT MEDIAS,NÉANT,"SA, sise à paris (75009) - non rémunéré sauf jetons de présence",,,
Serge Dassault,pro,,Administrateur DASSAULT SYSTÈME,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
François Pupponi,pro,,Administrateur des finances publiques,,Administrateur des finances publiques adjoint - Ministère des finances  En disponibilité,,,
Philippe Dominati,pro,,Administrateur et Président du conseil de surveillance de TELEPERFORMANCE SA,76800 EUR par an,11000 EUR par an et 76800 EUR par an,,,
Bruno Sido,pro,,Administrateur mémorial CDG,NÉANT,,,,
Olivier Dassault,pro,,Administrateur RASEC,NÉANT,sise à PARIS (75008) - non rémunéré sauf jetons de présence,,,
Serge Dassault,pro,,Administrateur SITA,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Olivier Dassault,pro,,Administrateur SOCIETE DU FIGARO,NÉANT,"SA, sise à Paris (75009) - non rémunéré sauf jetons de présence",,,
Serge Dassault,pro,,Administrateur TERRAMARIS,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Georges Ginesta,pro,,Agent d'Assurances,2012 : 180086 EUR,180086 EUR en 2012,,,
Olivier Audibert Troin,pro,,Agent Général d'Assurances,2013 : 485000 EUR,Agent Général d'Assurances depuis le 1er janvier 1986 Cie = M.M.A. -  Commissions annuelles = 468 443 EUR pour 2012 2013 = non arrêtées (vraisemblablement aux alentours de 485 000 EUR),,,
Bruno Sido,pro,,Agriculteur,NÉANT,,,,
Yves Daniel,pro,,Agriculteur,2880 EUR par an,240 EUR/mois soit 2880 EUR/an net,,,
Charles de La Verpillière,pro,,Agriculteur,3477 EUR par an,3477 EUR (2012),,,
Dominique Potier,pro,,Agriculteur,4800 EUR par an,400 EUR / mois,,,
Philippe Le Ray,pro,,Agriculteur,12000 EUR par an,1000 EUR/mois,,,
