"name","type","company","description","amount","notes"
"Abdourahamane Soilihi","pro",,,,
"Agnès Canayer","pro",,,,
"Alain Anziani","pro",,,,
"Alain Bertrand","pro",,"Retraité",,
"Alain Bocquet","pro",,,,
"Alain Calmette","pro",,"Inspecteur de la jeunesse et des sports","45600 EUR par an","3800 EUR brut par mois "
"Alain Chatillon","pro",,"Gérant de société (RAMSES)","18000 EUR par an ","1500 EUR brut par mois"
"Alain Chatillon","pro",,"SCEA de Moncausson (exploitant agricole)",,
"Alain Chrétien","pro",,,,
"Alain Claeys","pro",,,,
"Alain Dufaut","pro",,,,
"Alain Duran","pro",,"Professeur des Ecoles, placé en disponibilité du  01/10/2014 au 30/09/2020",,
"Alain Fauré","pro",,"Chef d'entreprise","2013 : 24952 EUR","24 952 EUR sur 2013"
"Alain Fouché","pro",,,,
"Alain Gest","pro",,,,
"Alain Gournac","pro",,,,
"Alain Houpert","pro",,"Sénateur","50000 EUR par an ",
"Alain Joyandet","pro",,,,
"Alain Leboeuf","pro",,"Directeur de collège",,"Directeur de collège En vacances de poste pendant les élections. Arrêt le 09 juillet 2012."
"Alain Marc","pro",,,,
"Alain Marleix","pro",,,,
"Alain Marsaud","pro",,"Directeur de sociéte de Casino Guichard Perrachon","165600 EUR par an","13800 EUR brut mensuel"
"Alain Marty","pro",,"Médecin libéral",,"Médecine libérale, cabinet médical Activité réduite : 2 demi journées par semaine - BNC : Activité déficitaire"
"Alain Milon","pro",,,,
"Alain Moyne-Bressand","pro",,"Président Conseil Surveillance AMB Finances ","50000 EUR par an","S.A.S Blanchisserie Location de linge"
"Alain Néri","pro",,,,
"Alain Richard","pro",,"Conseiller d'Etat ","104400 EUR par an","Conseiller d'Etat en service en sections administratives - en moyenne annuelle 8700 EUR par mois, primes comprises"
"Alain Rodet","pro",,,,
"Alain Rousset","pro",,,,
"Alain Suguenot","pro",,,,
"Alain Tourret","pro",,"Avocat à la Cour d'Appel","2012 : 51241 EUR par an ",
"Alain Vasselle","pro",,"Agriculteur","2014 : 76500 EUR par an ","Bénéfice agricole 2014 : + 39529 + 36971 "
"Albéric de Montgolfier","pro",,,,
"Alex Türk","pro",,"Vacataire à l'université libre de Lille","2013 : 9954 EUR","Vacations à l'université libre de Lille - Année 2013 : 9 954,50 EUR"
"Alexis Bachelay","pro",,"Attaché territorial Ville de Nanterre","28560 EUR par an",28560
"Alfred Marie-Jeanne","pro",,,,
"Aline Archimbaud","pro",,,"66168 EUR par an","Sénateur -Indemnité 5514 EUR"
"André Chassaigne","pro",,,,
"André Jean Gattolin","pro",,,,"(A date)"
"André Reichardt","pro",,,,
"André Santini","pro",,,,
"André Schneider","pro",,,,
"André Trillard","pro",,,,
"Anne Chain-Larché","pro",,"Publication à venir",,
"Anne Emery-Dumas","pro",,,,
"Anne Grommerch","pro",,,,
"Anne-Catherine Loisier","pro",,"Garde-forestier pour le privé (Groupement Forestier Philippe)","90720 EUR par an ","7560 EUR"
"Anne-Christine Lang","pro",,,,
"Anne-Lise Dufour-Tonini","pro",,"Chef d'établissement scolaire du second degré","54000 EUR par an","4500 EUR mensuel"
"Anne-Yvonne Le Dain","pro",,"Directrice de recherche CIRAD","63600 EUR par an","5300 EUR/mois"
"Annick Billon","pro",,,,
"Annick Le Loch","pro",,,,
"Annick Lepetit","pro",,,,
"Annie David","pro",,,,
"Annie Genevard","pro",,,,
"Annie Guillemot","pro",,,,
"Annie Le Houerou","pro",,,,
"Antoine Herth","pro",,"Gérant","2012 : 18281 EUR","Gérant de la SCEA  - Variable selon résultat = 18281 EUR en 2012"
"Antoine Karam","pro",,"Professeur certifié d'histoire - Université des Antilles et de la Guyane","49831 EUR par an ",
"Antoine Lefevre","pro",,,,
"Arlette Grosskost","pro",,"Député","46 798 EUR par an","Député - 46 798 EUR (nette fiscale)"
"Armand Jung","pro",,,,
"Arnaud Leroy","pro",,"Fonctionnaire UE","68400 EUR par an","Fonctionnaire UE/ grade A9 en poste à Lisbonne (Portugal) depuis 2006 - +- 5700 EUR"
"Arnaud Richard","pro",,"Député","62400 EUR par an","Juin 2010 - mai 2012 Député - 5200 EUR nets par mois d'indemnités parlementaires"
"Arnaud Robinet","pro",,"Enseignant-Chercheur praticien hospitalier","42036 EUR par an","3503 EUR net/mois"
"Arnaud Viala","pro",,"PUBLICATION A VENIR","PUBLICATION A VENIR",
"Ary Chalus","pro",,,,
"Audrey Linkenheld","pro",,"Collaboratrice de député européen","33360 EUR par an","Collaboratrice de Gilles PARGNEAUX, députée européen, à mi-temps - 2780/mois net = 3509,01/mois brut"
"Aurélie Filippetti","pro",,"Députée",,
"Aurélie Filippetti","pro",,"Ministre",,
"Axel Poniatowski","pro",,,,
"Barbara Pompili","pro",,,,
"Barbara Romagnan","pro",,,,"Professeur de Lycée - Enseignante Lycée Granvelle de Dannemarie sur Crête 3h/s jusqu'à juin 2012"
"Bariza Khiari","pro",,,,
"Béatrice Santais","pro",,,,
"Benoist Apparu","pro",,,,
"Benoît Hamon","pro",,"Directeur de la société le Fil","24000 EUR par an","2000 EUR par mois"
"Benoît Hamon","pro",,"Ministre de l'Economie Sociale et Solidaire et de la Consommation","2012-2014: 57600 EUR par an",
"Benoît Hamon","pro",,"Ministre de l'Education Nationale","2014 : 31200 EUR par an ","Du 31/3/2014 au 25/8/2014: 7800 EUR par mois"
"Benoît Hamon","pro",,"Professeur associé Paris 8","15600 EUR par an","1300 EUR par mois"
"Benoît Huré","pro",,"Agriculteur ","4320 EUR par an ","360 EUR par mois - associé avec 2 autres agriculteurs dans la cadre d'un Groupement Agricole d'Exploitation en Commun exploitant une ferme polyculture-élevage d'une Surface Agricole Utile de 236 Hectares"
"Bérengère Poletti","pro",,,,
"Bernadette Laclais","pro",,,,
"Bernard Accoyer","pro",,,,
