name,nameShow,parti,groupe
Clémentine Autain,Clémentine Autain,E!,FI
Ugo Bernalicis,Ugo Bernalicis,PG,FI
Éric Coquerel,Éric Coquerel,PG,FI
Alexis Corbière,Alexis Corbière,PG,FI
Caroline Fiat,Caroline Fiat,E!,FI
Bastien Lachaud,Bastien Lachaud,PG,FI
Michel Larive,Michel Larive,PG,FI
Danièle Obono,Danièle Obono,La France insoumise,FI
Mathilde Panot,Mathilde Panot,La France insoumise,FI
Loïc Prud'homme,Loïc Prud'homme,La France insoumise,FI
Adrien Quatennens,Adrien Quatennens,PG,FI
Jean-Hugues Ratenon,Jean-Hugues Ratenon,RE974,FI
Muriel Ressiguier,Muriel Ressiguier,PG,FI
Sabine Rubin,Sabine Rubin,La France insoumise,FI
François Ruffin,François Ruffin,Picardie-Debout,FI
Bénédicte Taurine,Bénédicte Taurine,PCF,FI
Jean-Luc Mélenchon,Jean-Luc Mélenchon,PG,FI
Bruno Nestor Azerot,Bruno Nestor Azerot,RDM app.,GDR
Huguette Bello,Huguette Bello,MPR,GDR
Moetai Brotherson,Moetai Brotherson,TH,GDR
Alain Bruneel,Alain Bruneel,PCF,GDR
Marie-George Buffet,Marie-George Buffet,PCF,GDR
Pierre Dharréville,Pierre Dharréville,PCF,GDR
Jean-Paul Dufrègne,Jean-Paul Dufrègne,PCF,GDR
Elsa Faucillon,Elsa Faucillon,PCF,GDR
JUMEL Sébastien,Sébastien Jumel,PCF,GDR
Jean-Paul Lecoq,Jean-Paul Lecoq,PCF,GDR
Jean-Philippe Nilor,Jean-Philippe Nilor,MIM,GDR
Stéphane Peu,Stéphane Peu,PCF,GDR
Fabien Roussel,Fabien Roussel,PCF,GDR
Gabriel Serville,Gabriel Serville,PSG,GDR
Hubert Wulfranc,Hubert Wulfranc,PCF,GDR
André Chassaigne,André Chassaigne,PCF,GDR
Sophie Auconie,Sophie Auconie,UDI-FED,LC
Olivier Becht,Olivier Becht,DVD,LC
Thierry Benoit,Thierry Benoit,UDI,LC
Pierre-Yves Bournazel,Pierre-Yves Bournazel,LR,LC
Marine Brenier,Marine Brenier,LR,LC
Guy Bricout,Guy Bricout,UDI,LC
Paul Christophe,Paul Christophe,LR,LC
Charles-Amédée de Courson,Charles de Courson,LC,LC
Béatrice Descamps,Béatrice Descamps,UDI,LC
Philippe Dunoyer,Philippe Dunoyer,CE,LC
Yannick Favennec,Yannick Favennec,UDI,LC
