name,parti,groupe
Clémentine Autain,E!,FI
Ugo Bernalicis,PG,FI
Éric Coquerel,PG,FI
Alexis Corbière,PG,FI
Caroline Fiat,E!,FI
Bastien Lachaud,PG,FI
Michel Larive,PG,FI
Danièle Obono,La France insoumise,FI
Mathilde Panot,La France insoumise,FI
Loïc Prud'homme,La France insoumise,FI
Adrien Quatennens,PG,FI
Jean-Hugues Ratenon,RE974,FI
Muriel Ressiguier,PG,FI
Sabine Rubin,La France insoumise,FI
François Ruffin,Picardie-Debout,FI
Bénédicte Taurine,PCF,FI
Jean-Luc Mélenchon,PG,FI
Bruno Nestor Azerot,RDM app.,GDR
Huguette Bello,MPR,GDR
Moetai Brotherson,TH,GDR
Alain Bruneel,PCF,GDR
Marie-George Buffet,PCF,GDR
Pierre Dharréville,PCF,GDR
Jean-Paul Dufrègne,PCF,GDR
Elsa Faucillon,PCF,GDR
Sébastien Jumel,PCF,GDR
Jean-Paul Lecoq,PCF,GDR
Jean-Philippe Nilor,MIM,GDR
Stéphane Peu,PCF,GDR
Fabien Roussel,PCF,GDR
Gabriel Serville,PSG,GDR
Hubert Wulfranc,PCF,GDR
André Chassaigne,PCF,GDR
Sophie Auconie,UDI-FED,LC
Olivier Becht,DVD,LC
Thierry Benoit,UDI,LC
Pierre-Yves Bournazel,LR,LC
Marine Brenier,LR,LC
Guy Bricout,UDI,LC
Paul Christophe,LR,LC
Charles de Courson,LC,LC
Béatrice Descamps,UDI,LC
Philippe Dunoyer,CE,LC
Yannick Favennec,UDI,LC
Agnès Firmin-Le Bodo,LR,LC
Philippe Gomès,CE,LC
Meyer Habib,UDI,LC
Antoine Herth,LR,LC
Yves Jégo,UDI-Rad.,LC
Laure de La Raudière,LR,LC
Jean-Christophe Lagarde,UDI-FED,LC
Vincent Ledoux,LR,LC
Maurice Leroy,LC,LC
Lise Magnier,LR,LC
Pierre Morel-À-L'Huissier,LR,LC
Christophe Naegelen,DVD,LC
Bertrand Pancher,UDI-Rad.,LC
Maina Sage,TH,LC
Nicole Sanquer,TH,LC
Thierry Solère,LR,LC
Francis Vercamer,LC,LC
Philippe Vigier,LC,LC
André Villiers,UDI,LC
Jean-Luc Warsmann,LR,LC
Michel Zumkeller,UDI-Rad.,LC
Napole Polutele,DVG,LC
Stéphane Demilly,LC,LC
Franck Riester,LR,LC
Damien Abad,LR,LR
Emmanuelle Anthoine,LR,LR
Julien Aubert,LR,LR
Thibault Bazin,LR,LR
Valérie Bazin-Malgras,LR,LR
Valérie Beauvais,LR,LR
Émilie Bonnivard,LR,LR
Jean-Yves Bony,LR,LR
Ian Boucard,LR,LR
Jean-Claude Bouchet,LR,LR
Valérie Boyer,LR,LR
Xavier Breton,LR,LR
Bernard Brochand,LR,LR
Fabrice Brun,LR,LR
Gilles Carrez,LR,LR
Jacques Cattin,LR,LR
Gérard Cherpion,LR,LR
Dino Cinieri,LR,LR
Éric Ciotti,LR,LR
Josiane Corneloup,LR,LR
François Cornut-Gentille,LR,LR
Marie-Christine Dalloz,LR,LR
Olivier Dassault,LR,LR
Bernard Deflesselles,LR,LR
Rémi Delatte,LR,LR
Vincent Descœur,LR,LR
Fabien Di Filippo,LR,LR
Éric Diard,LR,LR
Julien Dive,LR,LR
Jean-Pierre Door,LR,LR
Marianne Dubois,LR,LR
Virginie Duby-Muller,LR,LR
Pierre-Henri Dumont,LR,LR
Daniel Fasquelle,LR,LR
Jean-Jacques Ferrara,LR,LR
Nicolas Forissier,LR,LR
Laurent Furst,LR,LR
Claude de Ganay,LR,LR
Jean-Jacques Gaultier,LR,LR
Annie Genevard,LR,LR
Claude Goasguen,LR,LR
Philippe Gosselin,LR,LR
Jean-Carles Grelier,LR,LR
Michel Herbillon,LR,LR
Patrick Hetzel,LR,LR
Sébastien Huyghe,LR,LR
Mansour Kamardine,LR,LR
Brigitte Kuster,LR,LR
Charles de La Verpillière,LR,LR
Valérie Lacroute,LR,LR
Guillaume Larrivé,LR,LR
Marc Le Fur,LR,LR
Constance Le Grip,LR,LR
Sébastien Leclerc,LR,LR
Geneviève Levy,LR,LR
David Lorion,LR,LR
Véronique Louwagie,LR,LR
Gilles Lurton,LR,LR
Olivier Marleix,LR,LR
Franck Marlin,LR,LR
Jean-Louis Masson,LR,LR
Gérard Menuel,LR,LR
Frédérique Meunier,LR,LR
Maxime Minot,LR,LR
Jérôme Nury,LR,LR
Jean-François Parigi,LR,LR
Éric Pauget,LR,LR
Guillaume Peltier,LR,LR
Bernard Perrut,LR,LR
Bérengère Poletti,LR,LR
Aurélien Pradié,LR,LR
Didier Quentin,LR,LR
Alain Ramadier,LR,LR
Robin Reda,LR,LR
Frédéric Reiss,LR,LR
Jean-Luc Reitzer,LR,LR
