id_representant,raison_sociale,acronyme,statut_legal,site_internet,adr_numero,adr_voie,adr_boite_postale,adr_code_postal,adr_ville,adr_pays,adr_indicatif_telephone,adr_num_telephone,adr_precision_adresse,autre_categorie,objectif_mission,nb_personne,nb_card,complement_personne_activite_ri,initiative_assemblee,nb_personne_organisme,nature_juridique_adherent,autre_nature_juridique_adherent,nb_salarie_france,nb_salarie_etranger,nb_adherent_personne_physique,nb_adherent_personne_morale,memo_personne_morale,reseau,code_de_conduite,charte_lobbying,code,annee,"Chiffre d'affaires lié aux activités de RI effectués pour le compte de client auprès du Parlement 
(consultancies)",min_consultancies,max _consultancies,budget_global,cout_lobbying,min,max,relation_publique,precision_relation_publique,complement_information_financiere,memo_client,representant_interetcol,pjr_civilite,pjr_nom,pjr_prenom,pjr_fonction,categorie_full,categorie,secteur,Domaines d'activité et centres d'intérêt,fiche 
206,3M France,, SAS, www.3M.com/fr, ., Boulevard de l'Oise,NULL,95006,CERGY-PONTOISE CDX,FRANCE,33,1 30 31 80 91,NULL,NULL, 3M est organisé en 5 grands marchés : Industrie ; Sécurité et Signalétique ; Energie et_x000D__x000D_Electronique ; Santé ; Grand Public,3,3,NULL, Aucune action en 2014,NULL,NULL,NULL,3 000,88 677,NULL,NULL,NULL,"3M participe aux principales fédérations professionnelles de ses grands marchés :_x000D__x000D_AGRION,FIEV,URF,SNITEM,SYCABEL,SYNAMAP,SER,AFNOR,AMCHAM","Oui dans la mesure où tous les collaborateurs 3M s'engagent à adhérer chaque année _x000D__x000D_au Code de Conduite 3M incluant le respect du FCPA, ainsi qu'aux principes _x000D__x000D_déontologiques commerciaux qui y sont énoncés",,Charte de déontologie interne,2013,N/A,N/A,N/A,1100000000,Entre 0 et 10 000 €,0,10000,0,NULL,NULL,NULL,Oui,Madame, BARREAU, Stéphanie, Président 3M France,Entreprise,Entreprise,"Innovation, recherche","Défense, armement - Défense, armement - Défense, armement - Défense, armement - Défense, armement - Industrie - Industrie - Industrie - Industrie - Industrie - Santé - Santé - Santé - Santé - Santé - Sécurité - Sécurité - Sécurité - Sécurité - Sécurité - Télécommunications - Télécommunications - Télécommunications - Télécommunications - Télécommunications - Transports, logistique - Transports, logistique - Transports, logistique - Transports, logistique - Transports, logistique",http://www2.assemblee-nationale.fr/representant/representant_interet_detail/1
96,Accompagnements institutionnels vers les Pouvoirs publics,Ai2P,SARL,www.ai2p.com,9,rue de Villersexel,NULL,75007,PARIS,FRANCE,33,1 53 63 14 80,NULL,NULL,"Créé en 1997, Ai2P est un cabinet de conseil spécialisé dans la veille législative et le lobbying._x000D_Ses prestations sont destinées à l’ensemble des acteurs (entreprises ; organisations professionnelles ; organismes para-publics) qui souhaitent bâtir une relation suivie et constructive avec les pouvoirs publics leur permettant d’avoir connaissance de toutes les informations institutionnelles les concernant, de pouvoir mieux se faire connaître et reconnaître, de s’exprimer sur les orientations politiques et de défendre leurs intérêts._x000D_",2,2,NULL,"Organisation et participation à des rendez-vous et à des auditions, envoi de courriers et de courriels, de notes argumentaires dans le cadre du suivi de :_x000D_a) Projets de loi_x000D_- Projet de loi de finances pour 2015_x000D_- Projet de loi de finances rectificative (1 + 2) pour 2014_x000D_- Projet de loi de financement de la sécurité sociale pour 2015_x000D_- Projet de loi d'avenir pour l'agriculture, l'alimentation et la forêt_x000D_- Projet de loi relatif à la modernisation et à la simplification du droit et des procédures dans les domaines de la justice et des affaires intérieures_x000D_- Projet de loi relatif à la biodiversité_x000D_- Projet de loi relatif à la simplification de la vie des entreprises et portant diverses dispositions de simplification et de clarification du droit et des procédures administratives_x000D_- Projet de loi pour l'accès au logement et un urbanisme rénové (ALUR)_x000D_- Projet de loi de programmation pour la transition énergétique_x000D_- Projet de loi pour la croissance et l’activité_x000D_b) Propositions de loi_x000D_- Proposition de loi visant à redonner des perspectives à l'économie réelle et à l'emploi industriel_x000D_- Proposition de loi relative aux taxis et aux voitures de transport avec chauffeur_x000D_c) Missions d’informations ou Parlementaires en mission_x000D_- Mission d’information sur l’adaptation du droit de l’énergie aux outre-mer_x000D_- Mission d’information sur les professions juridiques règlementées (Commission des Lois)_x000D_- Mission sur les conditions de modernisation du cadre juridique des professions réglementées (Richard FERRAND)_x000D_d) Tables rondes_x000D_- « La place des énergies renouvelables dans la transition énergétique » (Comité d’évaluation et de contrôle des politiques publiques)_x000D_- « L’autre débat sur la transition énergétique » (Groupe UMP)_x000D_",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Association des Conseils en Lobbying et Affaires Publiques (AFCL) dont Alexandre de MONTESQUIOU est le Président,Code de déontologie de l’Association des Conseils en Lobbying et Affaires Publiques (AFCL),Charte de lobbying AFCL,,2014,Entre 200 000 et 250 000 €,200.000,250.000,N/A,N/A,N/A,N/A,NULL,NULL,NULL,_x000D_- Astra France_x000D_- Conseil Nationale des Administrateurs Judiciaires et des Mandataires Judicaires (CNAJMJ)_x000D_- Syndicat des Energies Renouvelables (SER)_x000D_- Compagnie nationale des Conseils en Propriété Industrielle (CNCPI)_x000D_- Association des Fournisseurs de Cigares en France (AFCF)_x000D_,Oui,Monsieur,du REPAIRE,Fabrice,Gérant,Cabinets de consultants spécialisés,Conseil privé,"Affaires publiques, communication","Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agroalimentaire - Agroalimentaire - Agroalimentaire - Agroalimentaire - Artisanat - Artisanat - Artisanat - Artisanat - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Arts et culture - Arts et culture - Arts et culture - Arts et culture - Bâtiment, travaux publics - Bâtiment, travaux publics - Bâtiment, travaux publics - Bâtiment, travaux publics - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances - Budget et finances publiques - Budget et finances publiques - Budget et finances pub",http://www2.assemblee-nationale.fr/representant/representant_interet_detail/147
158,ACIES CONSULTING GROUP,,SAS,www.acies-cg.com,69, rue de la République,NULL,69002,Lyon,France,33,04 78 92 40 00,NULL,NULL,Conseil opérationnel spécialisé en Recherche et Innovation,1,2,NULL,Envoi de données chiffrées / information sur le Crédit impôt recherche (CIR) à des députés; _x000D_Diffusion de L'Observatoire du Crédit impôt recherche à tous les députés; _x000D_Rendez-vous avec des députés; _x000D_Réponse à des questionnaires sur le Crédit impôt recherche / Auditions sur le CIR.,NULL,NULL,NULL,130,0,NULL,NULL,NULL,MEDEF;_x000D_ANRT_x000D_,"Doctrine ACIES Consulting Group : _x000D_1 - Le respect rigoureux de la lettre et de l’esprit des textes de loi; _x000D_2 - Une critique intransigeante, constructive et argumentée des textes réglementaires; _x000D_3 - La doctrine s’interdit de chercher à interpréter les textes pour justifier une pratique donnée; _x000D_4 - Lorsque des choix sont possibles, la doctrine ACIES éclaire les décisions d’une manière impartiale; _x000D_5 Des optimisations responsables et pragmatiques; _x000D_6 - Un respect scrupuleux des deniers de l’État; _x000D_7 - Des pratiques professionnelles qui donnent la priorité aux clients",,Charte de déontologie interne,Juin 2012-Juin 2013,N/A,N/A,N/A,supérieur à 10 000 000 €,Entre 30 000 et 40 000 €,30000,40000,1, Interel France (cabinet de conseil spécialisé dans le domaine des affaires publiques et des activités de Lobbying),NULL,NULL,Oui,Monsieur,DUVARRY,Patrick,Président,Entreprise,Entreprise,"Innovation, recherche",Recherche et technologie - Recherche et technologie - Recherche et technologie - Recherche et technologie,http://www2.assemblee-nationale.fr/representant/representant_interet_detail/152
101,Aéroports de Paris,ADP,SA,aeroportsdeparis.fr,291,boulevard Raspail,NULL,75014,PARIS,FRANCE,NULL,01 43 35 70 00,"SA détenue à 50,6% par l’État",NULL,"- Exploitation des trois principaux aéroports franciliens ( Paris-Charles de Gaulle, Paris-Orly, Paris-La Bourget), de 10 plates-formes d'aviation générale, de l'héliport d'Issy-les-Moulineaux_x000D_-Construction et gestion d'aéroports à l'international à trave",2,2,NULL,"Rencontres avec les députés et leurs conseillers, les administrateurs des commissions compétentes",NULL,NULL,NULL,8 754,211,NULL,NULL,NULL,Avenir Transports _x000D_Union des aéroports français (UAF)_x000D_ACI Europe_x000D_Alfa ACI_x000D_Alliance 46.2_x000D_,"Le Groupe a nommé une déontologue_x000D_Le Groupe a élaboré une charte éthique_x000D_Un code de déontologie a été annexé au règlement intérieur de chacune des entités du Groupe_x000D_Le Groupe a signé en décembre 2014, la déclaration commune des entreprises membres de Transparency International France sur le lobbying responsable_x000D_",,Charte de déontologie interne,2014,N/A,N/A,N/A,2790000000,Entre 50 000 et 100 000 €,50000,100000,0,NULL,"S'agissant des coûts liés aux activités directes de représentation d'intérêts exercées par ADP auprès du Parlement, la direction des affaires publiques a été créée fin 2013. Aussi à ce stade, il n'est pas possible d'évaluer le coût de ces activités.",NULL,Oui,Monsieur,de ROMANET,Augustin,Président - Directeur général,Entreprise,Entreprise,"Transports, logistique","Transports, logistique - Transports, logistique - Transports, logistique - Transports, logistique",http://www2.assemblee-nationale.fr/representant/representant_interet_detail/93
190,AFFAIRES PUBLIQUES CONSULTANTS,APc,SARL,http://www.affairespubliquesconsultants.fr/,21bis,Rue Lord byron,/,75008,Paris,France,33,156883980,Néant,NULL,"Affaires Publiques Consultants est un cabinet de conseil indépendant en affaires publiques, lobbying et communication stratégique qui accompagne, depuis 2004, de manière transparente, des entreprises, fédérations professionnelles, associations ou encore des organismes publics dans leurs relations et démarches auprès des acteurs institutionnels, notamment le Parlement.",8,5,Néant,"Prise de contacts, organisation de rendez-vous, participation aux auditions, rédaction de courriers, préparation de dossiers et d'argumentaires et de notes dans le cadre de différentes mission d'information ainsi que des textes de lois, notamment le PLF et le PLFSS 2014, le projet de loi relatif à l'indépendance de l'audiovisuel public, etc.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Affaires Publiques consultants est membre, depuis sa création, de l'Association française des conseils en lobbying (AFCL), présidée par Jean-Christophe Adler de 2004 à 2009._x000D__x000D_En 2014, Affaires Publiques consultants a rejoint le réseau Global Communications Alliance qui regroupe actuellement huit cabinets de conseil en communication et affaires publiques à travers le monde.",Affaires Publiques consultants est signataire de la Charte de déontologie de l'Association française des conseils en lobbying (AFCL).,Charte de lobbying AFCL,,2014,Entre 350 000 et 400 000 €,350.000,400.000,N/A,N/A,N/A,N/A,NULL,NULL,D'autres consultants du cabinet peuvent être en contact occasionnel avec des parlementaires mais le registre ne permet pas d'inscrire tous les noms.,"A Plus Finance, AEPJ, Apple, Association RMC-BFM, B.A. ba Solidarité, Baxter, _x000D_5 à Sec, Compte Epargne CO2 - 450, Disneyland Paris, groupe Next Radio TV, ILIAD, Resto Flash, SENSEE, Unilend.",Oui,Monsieur,ADLER,Jean-Christophe,Gérant,Cabinets de consultants spécialisés,Conseil privé,"Affaires publiques, communication","Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances - Budget et finances publiques - Budget et finances publiques - Budget et finances publiques - Budget et finances publiques - Budget et finances publiques - Budget et finances publiques - Budget et finances publiques - Commerce, distribution - Commerce, distribution - Commerce, distribution - Commerce, distribution - Commerce, distribution - Commerce, distribution - Commerce, distribution - Consommation et concurrence - Consommation et concurrence - Consommation et concurrence - Con",http://www2.assemblee-nationale.fr/representant/representant_interet_detail/238
184,Affectio Mutandi,,SAS,www.affectiomutandi.com,39,Rue de la Gare de Reuilly,NULL,75012,Paris,France,33,6 80 45 18 86,NULL,NULL,"Première agence conseil en stratégies sociétale, normative et réputationnelle, à la confluence des parties prenantes, articulant Communication corporate & de Crise, Réputation, Influence, Affaires publiques, Responsabilité sociétale, Compréhension des enjeux juridiques et Relations ONG/parties prenantes.",NULL,3,NULL,Relations institutionnelles,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Code déontologique interne à Affectio Mutandi,,Charte de déontologie interne,2013,inférieur à 50 000 €,0,50.000,N/A,N/A,N/A,N/A,NULL,NULL,NULL,_x000D_La Feuille d'Erable (acteur de entrepreneuriat social et solidaire),Oui,Monsieur,GUEDJ,Pierre-Samuel,Président,Cabinets de consultants spécialisés,Conseil privé,"Affaires publiques, communication","Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agroalimentaire - Agroalimentaire - Agroalimentaire - Agroalimentaire - Agroalimentaire - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Audiovisuel et médias, économie numérique - Bâtiment, travaux publics - Bâtiment, travaux publics - Bâtiment, travaux publics - Bâtiment, travaux publics - Bâtiment, travaux publics - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances - Banque, Assurance, finances -",http://www2.assemblee-nationale.fr/representant/representant_interet_detail/17
143,Agence foncière et technique de la région parisienne,AFTRP,EPIC,www.aftrp.org,195,rue de Bercy,NULL,75582,Paris,France,NULL,143447672,NULL,EPIC,"L'AFTRP est un établissement public à caractère industriel et commercial (EPIC), créé par l'Etat en 1962. L'AFTRP est un acteur majeur de l'aménagement des territoires franciliens. Elle rassemble les expertises d'un développeur urbain, autour de ses quater métiers: étude et montage d'opérations d'aménagement, ingénierie foncière et immobilière, aménagement et constructions publiques. Elle agit pour donner vie aux projets, refaire la ville sur la ville, améliorer la qualité de la vie de ceux qui y vivent et travaillent, acquérir, gérer, commercialiser les terrains dont la responsabilité lui est confiée.",5,5,NULL,Activité de veille parlementaire sur l'ensemble des textes en lien avec les activités de l'Agence. Participation à des colloques et rencontre organisées à l'Assemblée nationale. Relations avec les parlementaires franciliens.,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,2013,N/A,N/A,N/A,122840000,Entre 0 et 10 000 €,0,10000,0,NULL,NULL,NULL,Oui,Monsieur,LAJOIE,Thierry,Président directeur général,Autres,Organisme public ou parapublic,"Collectivités, territoires ","Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Affaires institutionnelles, vie publique - Collectivités locales - Collectivités locales - Collectivités locales - Collectivités locales - Collectivités locales - Collectivités locales - Collectivités locales - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Immobilier, habitat, logement - Immobilier, habitat, logement - Immobilier, habitat, logement - Immobilier, habitat, logement - Immobilier, habitat, logement - Immobilier, habitat, logement -",http://www2.assemblee-nationale.fr/representant/representant_interet_detail/64
100,Agir pour l'Environnement,APE,Association loi 1901,www.agirpourlenvironnement.org,2,rue du nord,-,75018,Paris,France,33,140310237,Néant,NULL,Agir pour l'Environnement mène des campagnes en faveur de l'environnement en rédigeant des documents pédagogiques associés à des planches de cartes-pétitions qu'un réseau de plusieurs milliers d'adnérents accepte d'adresser à des décideurs politiques et économiques. L'équipe d'Agir pour l'Environnement prend ensuite le relais de cette mobilisation citoyenne afin d'obtenir des avancés réglementaires et législatives.,5,4,Néant,"Petits déjeuner à l'Hôtel de la Questure, conférences-débats au sein du Palais Bourbon à l'invitation de parlementaires, participation à des auditions organisées dans le cadre de mission d'information, lettres ouvertes adressées à l'ensemble des députés, conférences de presse, rédaction de questions écrites, proposition d'amendements, interviews de députés, rencontres et rendez-vous.",5,Personnes physiques_x000D_,Néant,NULL,NULL,3 207,0,Néant,"L'association n'est membre d'aucune fédération mais est adhérente de : InfOGM, réseau sortir du nucléaire, réseau action climat, réseau semences paysannes_x000D_",Non,,,NULL,N/A,N/A,N/A,355132,Entre 40 000 et 50 000 €,40000,50000,0,Néant,Néant,NULL,Oui,Monsieur,Kerckhove,Stéphen,Délégué général,Association,"Association, ONG","Environnement, écologie, développement durable ","Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agriculture, élevage, pêche, bois - Agroalimentaire - Agroalimentaire - Agroalimentaire - Agroalimentaire - Agroalimentaire - Agroalimentaire - Consommation et concurrence - Consommation et concurrence - Consommation et concurrence - Consommation et concurrence - Consommation et concurrence - Consommation et concurrence - Énergie, eau - Énergie, eau - Énergie, eau - Énergie, eau - Énergie, eau - Énergie, eau - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Environnement, écologie, développement durable - Fiscalité - Fiscalité - Fiscalité - Fiscalité - Fiscalité - Fiscalité - Gouvernance - Gouvernance - ",http://www2.assemblee-nationale.fr/representant/representant_interet_detail/141
28,AIR FRANCE,,SA,airfrance.fr,45,RUE DE PARIS,NULL,95747,ROISSY CHARLES DE GAULLE,FRANCE,33,141565806,NULL,NULL,COMPAGNIE AERIENNE,1,1,NULL,AUDITIONS_x000D_RENDEZ VOUS AVEC DES PARLEMENTAIRES_x000D__x000D_VISITES INSTALLATIONS DE LA COMPAGNIE A ROISSY_x000D_,NULL,NULL,NULL,55 700,4 181,NULL,NULL,NULL,FNAM (FEDERATION NATIONALE DE L'AVIATION MARCHANDE)_x000D__x000D_AVENIR TRANSPORTS,ARPP,Charte de lobbying ARPP,,2013,N/A,N/A,N/A,25000000000,Entre 100 000 et 150 000 €,100000,150000,0,CABINET BOURY TALON ET ASSOCIES POUR LA VEILLE,.,NULL,Oui,Monsieur,BASSIL,ALAIN,DIRECTEUR GENERAL DELEGUE OPERATIONS,Entreprise,Entreprise,"Transports, logistique","Industrie - Industrie - Industrie - Transports, logistique - Transports, logistique - Transports, logistique",http://www2.assemblee-nationale.fr/representant/representant_interet_detail/223
26,AIRBUS Group France,,"Airbus group France ( SAS ) ; Airbus Group ( NV, société de droit néerlandais)",www.eads.net,37,boulevard de Montmorency,NULL,75781,Paris,France,33,1 42 24 24 24,NULL,NULL,"activités aéronautiques : AIRBUS commercial; AIRBUS Helicopters; AIRBUS Defence & Space : Défense ( dissuasions , drones, systèmes de communications ), Espace ( fusée_x000D__x000D_ Ariane et satellites ) avions militaires de mission, Sécurité ( systèmes de_x000D__x000D_ communications )",2,1,Annick PERRIMOND- du BREUIL_x000D__x000D_+ sa secrétaire,présentation de la nouvelle organisation et de la gouvernance d'EADS; auditions dans_x000D_ le cadre de la préparation de la loi de programmation militaire/LPM; auditions par les_x000D__x000D_ rapporteurs budgétaires des commissions Défense et Finances / PLF 2014; MEC sur_x000D__x000D_ les programmes de défense en coopération;auditions des dirigeants du groupe par les commissions des Affaires économiques et de la défense; visites de sites industriels en Ile de France,NULL,NULL,NULL,52 150,98 550,NULL,NULL,NULL,GIFAS / groupement des industries aéronautiques et spatiales_x000D__x000D_GICAN / groupement des industries d'armement naval_x000D_GICAT / groupement des industries d'armement terrestre,"EADS a signé les Global Principles  qui certifice son adhésion à l’IFBEC et à ses_x000D__x000D_ principes. A cet titre,EADS assure en 2013 la présidence de l'IFBEC / International Forum on Business Ethical Conduct for the Aerospace and Defense Industry qui_x000D__x000D_rassemble les sociétés Aeronautiques et de défense Européenes (ASD) et Américaines_x000D__x000D_ (AIA)",,Charte de déontologie professionnelle,2012,N/A,N/A,N/A,supérieur à 10 000 000 €,Entre 250 000 et 300 000 €,250000,300000,0,NULL,NULL,NULL,Oui,Monsieur,BOTTRIE,Philippe,Directeur des Affaires publiques France,Entreprise,Entreprise,"Défense, aéronautique, sécurité","Défense, armement - Défense, armement - Défense, armement - Industrie - Industrie - Industrie - Recherche et technologie - Recherche et technologie - Recherche et technologie - Sécurité - Sécurité - Sécurité - Transports, logistique - Transports, logistique - Transports, logistique",http://www2.assemblee-nationale.fr/representant/representant_interet_detail/84
